no,분류,중복,Institution,Title,저자,Year,Pdf Link
21,Abstract,0,Seoul National University,Application of WHO's Guideline to Evaluating Apps for Smoking Cessation,"Suin Seo,Sung-Il Cho",2018,https://waset.org/pdf/books/?id=92788&pageNumber=113
22,Abstract,0,Seoul National University,Behavior of the RC Slab Subjected to Impact Loading According to the DIF,"Yong Jae Yu,Jae-Yeol Cho",2015,https://waset.org/pdf/books/?id=27423&pageNumber=574
23,Periodical,0,Seoul National University,Bias Stability of a-IGZO TFT and a new Shift-Register Design Suitable for a-IGZO TFT,"Young Wook Lee, Sun-Jae Kim, Soo-Yeon Lee, Moon-Kyu Song, Woo-Geun Lee Min-Koo Han",2011,https://waset.org/publications/10628/bias-stability-of-a-igzo-tft-and-a-new-shift-register-design-suitable-for-a-igzo-tft
24,Abstract,0,Seoul National University,"Biodegradable Poly D,L-Lactide-Co-Glycolic Acid Microparticle Vaccine against Aeromonas hydrophila Infection","Saekil Yun,Sib Sankar Giri,Jin Woo Jun,Hyoun Joong Kim,Sang Guen Kim,Sang Wha Kim,Jung Woo Kang,Se Jin Han,Se Chang Park",2013,https://waset.org/pdf/books/?id=80486&pageNumber=532
25,Periodical,0,Seoul National University,CFD Simulation of Condensing Vapor Bubble using VOF Model,"Seong-Su Jeon, Seong-Jin Kim, Goon-Cherl Park",2009,https://waset.org/publications/1307/cfd-simulation-of-condensing-vapor-bubble-using-vof-model
26,Abstract,0,Seoul National University,Classifying the Role of Technology in Technology Development,"Hyun Joung No,Chul Lee",2017,https://waset.org/pdf/books/?id=79729&pageNumber=2566
27,Abstract,1,Seoul National University,"Comparison Analysis of Science and Technology Council between Korea, USA, and Japan","Daekook Kang,Wooseok Jang,Jeonghwan Jeon",2014,https://waset.org/pdf/books/?id=15485&pageNumber=224
28,Periodical,0,Seoul National University,"Comparison Analysis of Science and Technology Council between Korea, USA, and Japan","Daekook Kang,Wooseok Jang,Jeonghwan Jeon",2014,https://waset.org/publications/10004829/comparison-analysis-of-science-and-technology-council-between-korea-usa-and-japan
29,Abstract,0,Seoul National University,Compromised Sexual Territoriality under Reflexive Cosmopolitanism: From Coffee Bean to Gay Bean in South Korea,Robert Christopher Hamilton,2016,https://waset.org/pdf/books/?id=50652&pageNumber=1655
30,Abstract,0,Seoul National University,Correlation between Resistance to Non-Specific Inhibitor and Mammalian Pathogenicity of an Egg Adapted H9N2 Virus,"Chung-Young Lee,Se-Hee Ahn,Jun-Gu Choi,Youn-Jeong Lee,Hyuk-Joon Kwon,Jae-Hong Kim",2017,https://waset.org/pdf/books/?id=74841&pageNumber=1951
31,Abstract,0,Seoul National University,Damage Assessment Based on Full-Polarimetric Decompositions in the 2017 Colombia Landslide,"Hyeongju Jeon,Yonghyun Kim,Yongil Kim",2018,https://waset.org/pdf/books/?id=77442&pageNumber=1698
32,Abstract,0,Seoul National University,Design of Reinforced Concrete (RC) Walls Considering Shear Amplification by Nonlinear Dynamic Behavior,"Sunghyun Kim,Hong-Gun Park",2017,https://waset.org/pdf/books/?id=60242&pageNumber=547
33,Abstract,1,Seoul National University,Detecting Financial Bubbles Using Gap between Common Stocks and Preferred Stocks,"Changju Lee,Seungmo Ku,Sondo Kim,Woojin Chang",2017,https://waset.org/pdf/books/?id=57248&pageNumber=2132
34,Periodical,0,Seoul National University,Detecting Financial Bubbles Using Gap between Common Stocks and Preferred Stocks,"Changju Lee,Seungmo Ku,Sondo Kim,Woojin Chang",2017,https://waset.org/publications/10006194/detecting-financial-bubbles-using-gap-between-common-stocks-and-preferred-stocks
35,Abstract,0,Seoul National University,Development of an Interactive Display-Control Layout Design System for Trains Based on Train Drivers’ Mental Models,"Hyeonkyeong Yang,Minseok Son,Taekbeom Yoo,Woojin Park",2016,https://waset.org/pdf/books/?id=52550&pageNumber=831
36,Abstract,0,Seoul National University,Drag Reduction of Base Bleed at Various Flight Conditions,"Man Chul Jeong,Hyoung Jin Lee,Sang Yoon Lee,Ji Hyun Park,Min Wook Chang,In-Seuck Jeung",2017,https://waset.org/pdf/books/?id=69358&pageNumber=761
37,Abstract,1,Seoul National University,Effect of Pre-Construction on Construction Schedule and Client Loyalty,"Jong Hoon Kim,Hyun-Soo Lee,Moonseo Park,Min Jeong,Inbeom Lee",2016,https://waset.org/pdf/books/?id=48581&pageNumber=414
38,Periodical,0,Seoul National University,Effect of Pre-Construction on Construction Schedule and Client Loyalty,"Jong Hoon Kim,Hyun-Soo Lee,Moonseo Park,Min Jeong,Inbeom Lee",2016,https://waset.org/publications/10004812/effect-of-pre-construction-on-construction-schedule-and-client-loyalty
39,Abstract,0,Seoul National University,Effect of Primer on Bonding between Resin Cement and Zirconia Ceramic,"Deog-Gyu Seo,Jin-Soo Ahn",2017,https://waset.org/pdf/books/?id=78632&pageNumber=846
40,Abstract,0,Seoul National University,Effects of Forest Therapy on Depression among Healthy Adults,"Insook Lee, Heeseung Choi, Kyung-Sook Bang, Sungjae Kim, Minkyung Song, Buhyun Lee",2014,https://waset.org/pdf/books/?id=56968&pageNumber=1351
41,Abstract,0,Seoul National University,Effects of Substrate Roughness on E-Cadherin Junction of Oral Keratinocytes,"Sungpyo Kim,Changseok Oh,Ga-Young Lee,Hyun-Man Kim",2017,https://waset.org/pdf/books/?id=65564&pageNumber=1099
42,Abstract,0,Seoul National University,Electron Microscopical Analysis of Arterial Line Filters During Cardiopulmonary Bypass,Won-Gon Kim,2015,https://waset.org/pdf/books/?id=35502&pageNumber=268
43,Abstract,0,Seoul National University,Estimating Destinations of Bus Passengers Using Smart Card Data,"Hasik Lee,Seung-Young Kho",2018,https://waset.org/pdf/books/?id=80452&pageNumber=308
44,Abstract,0,Seoul National University,Estimating Knowledge Flow Patterns of Business Method Patents with a Hidden Markov Model,"Yoonjung An,Yongtae Park",2016,https://waset.org/pdf/books/?id=40872&pageNumber=644
45,Abstract,0,Seoul National University,Estimation of Traffic Information of Missing Links in Urban Arterials Using Bayesian Network,"Da-Woon Jeong,Hyeon-Jong Yoo,Dong-Kyu Kim",2018,https://waset.org/pdf/books/?id=80530&pageNumber=312
46,Abstract,1,Seoul National University,Evaluation for Punching Shear Strength of Slab-Column Connections with Ultra High Performance Fiber-Reinforced Concrete Overlay,"H. S. Youm,S. G. Hong",2018,https://waset.org/pdf/books/?id=80648&pageNumber=151
47,Periodical,0,Seoul National University,Evaluation for Punching Shear Strength of Slab-Column Connections with Ultra High Performance Fiber-Reinforced Concrete Overlay,"H. S. Youm,S. G. Hong",2018,https://waset.org/publications/10008528/evaluation-for-punching-shear-strength-of-slab-column-connections-with-ultra-high-performance-fiber-reinforced-concrete-overlay
48,Periodical,0,Seoul National University,Evaluation of Graph-based Analysis for Forest Fire Detections,"Young Gi Byun,Yong Huh,Kiyun Yu,Yong Il Kim",2007,https://waset.org/publications/15851/evaluation-of-graph-based-analysis-for-forest-fire-detections
49,Abstract,1,Seoul National University,Exploring Social Impact of Emerging Technologies from Futuristic Data,"Heeyeul Kwon,Yongtae Park",2015,https://waset.org/pdf/books/?id=26768&pageNumber=410
50,Periodical,0,Seoul National University,Exploring Social Impact of Emerging Technologies from Futuristic Data,"Heeyeul Kwon,Yongtae Park",2015,https://waset.org/publications/10000959/exploring-social-impact-of-emerging-technologies-from-futuristic-data
51,Periodical,0,Seoul National University,Exploring Structure of Mobile Ecosystem: Inter-Industry Network Analysis Approach,"Yongyoon Suh, Chulhyun Kim, and Moon-soo Kim",2013,https://waset.org/publications/11315/exploring-structure-of-mobile-ecosystem-inter-industry-network-analysis-approach
52,Abstract,0,Seoul National University,Exploring Twitter Data on Human Rights Activism on Olympics Stage through Social Network Analysis and Mining,"Teklu Urgessa,Joong Seek Lee",2017,https://waset.org/pdf/books/?id=58840&pageNumber=1703
53,Abstract,0,Seoul National University,Facility Anomaly Detection with Gaussian Mixture Model,"Sunghoon Park,Hank Kim,Jinwon An,Sungzoon Cho",2016,https://waset.org/pdf/books/?id=46957&pageNumber=1447
54,Abstract,0,Seoul National University,Factors Associated with Self-Rated Health among Persons with Disabilities: A Korean National Survey,"Won-Seok Kim,Hyung-Ik Shin",2013,https://waset.org/pdf/books/?id=1293&pageNumber=1
55,Abstract,0,Seoul National University,Fault Detection of Pipeline in Water Distribution Network System,"Shin Je Lee,Go Bong Choi,Jeong Cheol Seo,Jong Min Lee,Gibaek Lee",2014,https://waset.org/pdf/books/?id=5007&pageNumber=67
56,Abstract,0,Seoul National University,Flexible and Color Tunable Inorganic Light Emitting Diode Array for High Resolution Optogenetic Devices,"Keundong Lee,Dongha Yoo,Youngbin Tchoe,Gyu-Chul Yi",2016,https://waset.org/pdf/books/?id=72857&pageNumber=585
57,Abstract,0,Seoul National University,Flexural Behavior for Prefabricated Angle Truss Composite Beams Using Precast Concrete,"Jo Kwang-Won,Lee Ho-Jun,Choi In-Rak,Park Hong-Gun",2014,https://waset.org/pdf/books/?id=60429&pageNumber=550
58,Abstract,0,Seoul National University,Generation of Charged Nanoparticles and Their Contribution to the Thin Film and Nanowire Growth during Chemical Vapour Deposition,"Seung-Min Yang,Seong-Han Park,Sang-Hoon Lee,Seung-Wan Yoo,Chan-Soo Kim,Nong-Moon Hwang",2014,https://waset.org/pdf/books/?id=2492&pageNumber=5
59,Abstract,0,Seoul National University,Generation of Charged Nanoparticles in the Gas Phase and their Contribution to Deposition of GaN Films and Nanostructures during Atmospheric Pressure Chemical Vapor Deposition,"Jin-Woo Park, Sung-Soo Lee, Nong-Moon Hwang",2014,https://waset.org/pdf/books/?id=2530&pageNumber=6
60,Abstract,0,Seoul National University,Identifying Model to Predict Deterioration of Water Mains Using Robust Analysis,"Go Bong Choi,Shin Je Lee,Sung Jin Yoo,Gibaek Lee,Jong Min Lee",2014,https://waset.org/pdf/books/?id=3084&pageNumber=35
61,Abstract,0,Seoul National University,Immunologically Non-Treated Vascular Xenografts in Long-Term Survival Animals,"W. G. Kim, J. M. Chang, W. S. Kim",2014,https://waset.org/pdf/books/?id=9211&pageNumber=41
62,Abstract,0,Seoul National University,Impact of the Simplification of Licensing Procedures for Industrial Complexes on Supply of Industrial Complexes and Regional Policies,"Seung-Seok Bak,Chang-Mu Jung",2017,https://waset.org/pdf/books/?id=66514&pageNumber=618
63,Periodical,0,Seoul National University,Integrated Simulation and Optimization for Carbon Capture and Storage System,"Taekyoon Park, Seok Goo Lee, Sung Ho Kim, Ung Lee, Jong Min Lee, Chonghun Han",2013,https://waset.org/publications/17201/integrated-simulation-and-optimization-for-carbon-capture-and-storage-system
64,Abstract,0,Seoul National University,Interoperable Design Coordination Method for Sharing Communication Information Using Building Information Model Collaboration Format,"Jin Gang Lee,Hyun-Soo Lee,Moonseo Park",2016,https://waset.org/pdf/books/?id=49901&pageNumber=426
65,Abstract,0,Seoul National University,Isolated Contraction of Deep Lumbar Paraspinal Muscle with Magnetic Nerve Root Stimulation: A Pilot Study,"Shi-Uk Lee,Chae Young Lim",2017,https://waset.org/pdf/books/?id=37453&pageNumber=822
66,Abstract,1,Seoul National University,Latent Factors of Severity in Truck-Involved and Non-Truck-Involved Crashes on Freeways,"Shin-Hyung Cho,Dong-Kyu Kim,Seung-Young Kho",2017,https://waset.org/pdf/books/?id=69612&pageNumber=251
67,Periodical,0,Seoul National University,Latent Factors of Severity in Truck-Involved and Non-Truck-Involved Crashes on Freeways,"Shin-Hyung Cho,Dong-Kyu Kim,Seung-Young Kho",2017,https://waset.org/publications/10007532/latent-factors-of-severity-in-truck-involved-and-non-truck-involved-crashes-on-freeways
68,Abstract,1,Seoul National University,Missing Link Data Estimation with Recurrent Neural Network: An Application Using Speed Data of Daegu Metropolitan Area,"JaeHwan Yang,Da-Woon Jeong,Seung-Young Kho,Dong-Kyu Kim",2018,https://waset.org/pdf/books/?id=80183&pageNumber=305
69,Periodical,0,Seoul National University,Missing Link Data Estimation with Recurrent Neural Network: An Application Using Speed Data of Daegu Metropolitan Area,"JaeHwan Yang,Da-Woon Jeong,Seung-Young Kho,Dong-Kyu Kim",2018,https://waset.org/publications/10008844/missing-link-data-estimation-with-recurrent-neural-network-an-application-using-speed-data-of-daegu-metropolitan-area
70,Abstract,0,Seoul National University,M-Number of Aortic Cannulas Applied During Hypothermic Cardiopulmonary Bypass,Won-Gon Kim,2015,https://waset.org/pdf/books/?id=35501&pageNumber=716
71,Abstract,0,Seoul National University,Mobile Health Approaches in the Management of Breast Cancer: A Qualitative Content Analysis,"Hyekyung Woo,Gwihyun Kim",2018,https://waset.org/pdf/books/?id=78172&pageNumber=78
72,Abstract,0,Seoul National University,Modeling Activity Pattern Using XGBoost for Mining Smart Card Data,"Eui-Jin Kim,Hasik Lee,Su-Jin Park,Dong-Kyu Kim",2018,https://waset.org/pdf/books/?id=80202&pageNumber=305
73,Abstract,0,Seoul National University,Modeling and Simulation of Fluid Catalytic Cracking Process,"Sungho Kim,Dae Shik Kim,Jong Min Lee",2015,https://waset.org/pdf/books/?id=29415&pageNumber=688
74,Abstract,0,Seoul National University,Modeling Usage Patterns of Mobile App Service in App Market Using Hidden Markov Model,"Yangrae Cho,Jinseok Kim,Yongtae Park",2016,https://waset.org/pdf/books/?id=40873&pageNumber=645
75,Abstract,0,Seoul National University,"NeuroBactrus, a Novel, Highly Effective, and Environmentally Friendly Recombinant Baculovirus Insecticide",Yeon Ho Je,2015,https://waset.org/pdf/books/?id=26296&pageNumber=426
76,Abstract,1,Seoul National University,Optimal Maintenance and Improvement Policies in Water Distribution System: Markov Decision Process Approach,"Jong Woo Kim,Go Bong Choi,Sang Hwan Son,Dae Shik Kim,Jung Chul Suh,Jong Min Lee",2015,https://waset.org/pdf/books/?id=28043&pageNumber=46
77,Periodical,0,Seoul National University,Optimal Maintenance and Improvement Policies in Water Distribution System: Markov Decision Process Approach,"Jong Woo Kim,Go Bong Choi,Sang Hwan Son,Dae Shik Kim,Jung Chul Suh,Jong Min Lee",2015,https://waset.org/publications/10000986/optimal-maintenance-and-improvement-policies-in-water-distribution-system-markov-decision-process-approach
78,Abstract,0,Seoul National University,Optimization the Multiplicity of Infection for Large Produce of Lytic Bacteriophage pAh6-C,"Sang Guen Kim,Sib Sankar Giri,Jin Woo Jun,Saekil Yun,Hyoun Joong Kim,Sang Wha Kim,Jung Woo Kang,Se Jin Han,Se Chang Park",2013,https://waset.org/pdf/books/?id=82457&pageNumber=541
79,Abstract,0,Seoul National University,Parametric Study for Optimal Design of Hybrid Bridge Joint,"Bongsik Park,Jae Hyun Park,Jae-Yeol Cho",2017,https://waset.org/pdf/books/?id=27113&pageNumber=564
80,Abstract,0,Seoul National University,Phosphoinositide 3-Kinase-Dependent CREB Activation is Required for the Induction of Aromatase in Tamoxifen-Resistant Breast Cancer,"Ji Hye Im,Nguyen T. T. Phuong,Keon Wook Kang",2015,https://waset.org/pdf/books/?id=21891&pageNumber=371
81,Abstract,0,Seoul National University,"Physical Health, Depression and Related Factors for Elementary School Students in Seoul, South Korea",Kyung-Sook Bang,2017,https://waset.org/pdf/books/?id=75627&pageNumber=211
82,Abstract,0,Seoul National University,Predicting Seoul Bus Ridership Using Artificial Neural Network Algorithm with Smartcard Data,"Hosuk Shin,Young-Hyun Seo,Eunhak Lee,Seung-Young Kho",2018,https://waset.org/pdf/books/?id=85135&pageNumber=336
83,Abstract,0,Seoul National University,Prediction of Heavy-Weight Impact Noise and Vibration of Floating Floor Using Modified Impact Spectrum,"Ju-Hyung Kim,Dae-Ho Mun,Hong-Gun Park",2017,https://waset.org/pdf/books/?id=60227&pageNumber=546
84,Abstract,0,Seoul National University,Prerequisites for the Acquisition of Mammalian Pathogenicity by Influenza A Virus with a Prototypic Avian PB2 Gene,"Chung-Young Lee,Se-Hee Ahn,Ilhwan Kim,Du-Min Go,Dae-Yong Kim,Jun-Gu Choi,Youn-Jeong Lee,Jae-Hong Kim,Hyuk-Joon Kwon",2017,https://waset.org/pdf/books/?id=74659&pageNumber=1945
85,Abstract,0,Seoul National University,Preventive Effect of Three Kinds of Bacteriophages to Control Vibrio coralliilyticus Infection in Oyster Larvae,"Hyoun Joong Kim, Jin Woo Jun, Sib Sankar Giri, Cheng Chi, Saekil Yun, Sang Guen Kim, Sang Wha Kim, Jeong Woo, Kang, Se Jin Han, Se Chang Park",2014,https://waset.org/pdf/books/?id=80489&pageNumber=533
86,Abstract,0,Seoul National University,Proteome-Wide Convergent Evolution on Vocal Learning Birds Reveals Insight into cAMP-Based Learning Pathway,"Chul Lee,Seoae Cho,Erich D. Jarvis,Heebal Kim",2017,https://waset.org/pdf/books/?id=49715&pageNumber=931
87,Abstract,1,Seoul National University,Quantifying Freeway Capacity Reductions by Rainfall Intensities Based on Stochastic Nature of Flow Breakdown,"Hoyoung Lee,Dong-Kyu Kim,Seung-Young Kho,R. Eddie Wilson",2017,https://waset.org/pdf/books/?id=69639&pageNumber=252
88,Periodical,0,Seoul National University,Quantifying Freeway Capacity Reductions by Rainfall Intensities Based on Stochastic Nature of Flow Breakdown,"Hoyoung Lee,Dong-Kyu Kim,Seung-Young Kho,R. Eddie Wilson",2017,https://waset.org/publications/10007488/quantifying-freeway-capacity-reductions-by-rainfall-intensities-based-on-stochastic-nature-of-flow-breakdown
89,Abstract,0,Seoul National University,Relationship between Driving under the Influence and Traffic Safety,"Eun Hak Lee,Young-Hyun Seo,Hosuk Shin,Seung-Young Kho",2018,https://waset.org/pdf/books/?id=85925&pageNumber=341
90,Abstract,0,Seoul National University,RhoA Regulates E-Cadherin Intercellular Junctions in Oral Squamous Carcinoma Cells,"Ga-Young Lee,Hyun-Man Kim",2017,https://waset.org/pdf/books/?id=65493&pageNumber=1098
91,Abstract,0,Seoul National University,Roller Pump-Induced Tubing Rupture during Cardiopulmonary Bypass,"W. G. Kim,C. H. Jo",2014,https://waset.org/pdf/books/?id=9927&pageNumber=87
92,Abstract,0,Seoul National University,Sales Patterns Clustering Analysis on Seasonal Product Sales Data,"Soojin Kim,Jiwon Yang,Sungzoon Cho",2015,https://waset.org/pdf/books/?id=22411&pageNumber=756
93,Abstract,0,Seoul National University,Self-Assembled Tin Particles Made by Plasma-Induced Dewetting,"Han Joo Choe,Soon-Ho Kwon,Jung-Joong Lee",2015,https://waset.org/pdf/books/?id=39207&pageNumber=805
94,Periodical,0,Seoul National University,Self-Assembling Hypernetworks for Cognitive Learning of Linguistic Memory,"Byoung-Tak Zhang,Chan-Hoon Park",2015,https://waset.org/publications/4354/self-assembling-hypernetworks-for-cognitive-learning-of-linguistic-memory
95,Abstract,0,Seoul National University,Significance of Tridimensional Volume of Tumor in Breast Cancer Compared to Conventional TNM Stage,"Jaewoo Choi,Ki-Tae Hwang,Eunyoung Ko",2016,https://waset.org/pdf/books/?id=1397&pageNumber=2
96,Abstract,0,Seoul National University,Simulation of a Fluid Catalytic Cracking Process,"Sungho Kim,Dae Shik Kim,Jong Min Lee",2015,https://waset.org/pdf/books/?id=29425&pageNumber=689
97,Abstract,0,Seoul National University,Stock Price Prediction with 'Earnings' Conference Call Sentiment,"Sungzoon Cho,Hye Jin Lee,Sungwhan Jeon,Dongyoung Min,Sungwon Lyu",2018,https://waset.org/pdf/books/?id=86655&pageNumber=2161
98,Abstract,0,Seoul National University,Strength Properties of Ca-Based Alkali Activated Fly Ash System,"Jung-Il Suh,Hong-Gun Park,Jae-Eun Oh",2017,https://waset.org/pdf/books/?id=60325&pageNumber=548
99,Abstract,0,Seoul National University,The Effect of Iron Deficiency on the Magnetic Properties of Ca?.?La?.?Fe₁₂?yO₁??δ M-Type Hexaferrites,"Kang-Hyuk Lee, Wei Yan, Sang-Im Yoo",2017,https://waset.org/pdf/books/?id=78449&pageNumber=546
100,Abstract,0,Seoul National University,The Effect of Sexual Assault on Sport Participation Trajectories from Adolescence through Young Adulthood,Chung Gun Lee,2018,https://waset.org/pdf/books/?id=88011&pageNumber=463
101,Abstract,0,Seoul National University,The Effects of Seat Heights and Obesity on Lower-Limb Joint Kinematics during Sit-To-Stand Movement,"Seungwon Baek,Haeseok Jeong,Haehyun Lee,Woojin Park",2014,https://waset.org/pdf/books/?id=52551&pageNumber=832
102,Periodical,0,Seoul National University,The Light Response Characteristics of Oxide-Based Thin Film Transistors,"Soo-Yeon Lee, Seung-Min Song, Moon-Kyu Song, Woo-Geun Lee, Kap-Soo Yoon, Jang-Yeon Kwon and Min-Koo Han",2011,https://waset.org/publications/11559/the-light-response-characteristics-of-oxide-based-thin-film-transistors
103,Abstract,0,Seoul National University,The Perspective of Health Care Professionals of Pediatric Palliative Care,"Eunkyo Kang,Jihye Lee,Jiyeon Choo",2016,https://waset.org/pdf/books/?id=81161&pageNumber=2216
104,Periodical,0,Seoul National University,The Rise of Nationalism among South Korean Youth and Democracy: An Analysis,"Noor Sulastry Yurni Ahmad , Ki-Soo Eun",2012,https://waset.org/publications/10131/the-rise-of-nationalism-among-south-korean-youth-and-democracy-an-analysis
105,Abstract,0,Seoul National University,Thermal Behavior of Green Roof: Case Study at Seoul National University Retentive Green Roof,Theresia Gita Hapsari,2017,https://waset.org/pdf/books/?id=76640&pageNumber=1585
106,Abstract,0,Seoul National University,Thermal Buckling of Functionally Graded Panel Based on Mori-Tanaka Scheme,"Seok-In Bae,Young-Hoon Lee,Ji-Hwan Kim",2015,https://waset.org/pdf/books/?id=14823&pageNumber=239
107,Periodical,0,Seoul National University,Thermal Stability Boundary of FG Panel under Aerodynamic Load,"Sang-Lae Lee,Ji-Hwan Kim",2015,https://waset.org/publications/13268/thermal-stability-boundary-of-fg-panel-under-aerodynamic-load
108,Periodical,0,Seoul National University,Thermoelastic Damping of Inextensional Hemispherical Shell,"S. Y. Choi, Y. H. Na, and J. H. Kim",2009,https://waset.org/publications/3710/thermoelastic-damping-of-inextensional-hemispherical-shell
109,Abstract,0,Seoul National University,Understanding the Qualitative Nature of Product Reviews by Integrating Text Processing Algorithm and Usability Feature Extraction,"Cherry Yieng Siang Ling,Joong Hee Lee,Myung Hwan Yun",2015,https://waset.org/pdf/books/?id=87114&pageNumber=1219
110,Abstract,0,Seoul National University,Using Open Source Data and GIS Techniques to Overcome Data Deficiency and Accuracy Issues in the Construction and Validation of Transportation Network: Case of Kinshasa City,"Christian Kapuku,Seung-Young Kho",2018,https://waset.org/pdf/books/?id=80526&pageNumber=312
111,Abstract,0,Seoul National University,Virtual Metrology for Copper Clad Laminate Manufacturing,"Misuk Kim,Seokho Kang,Jehyuk Lee,Hyunchang Cho,Sungzoon Cho",2015,https://waset.org/pdf/books/?id=30066&pageNumber=971
112,Abstract,0,Seoul National University,Visualization of the Mobility Patterns of Public Bike Sharing System in Seoul,"Young-Hyun Seo,Hosuk Shin,Eun-Hak Lee,Seung-Young Kho",2018,https://waset.org/pdf/books/?id=84949&pageNumber=333
113,Periodical,0,Sungkyunkwan University,A Biomimetic Approach for the Multi-Objective Optimization of Kinetic Facade Design,"Do-Jin Jang,Sung-Ah Kim",2017,https://waset.org/publications/10008511/a-biomimetic-approach-for-the-multi-objective-optimization-of-kinetic-fa%C3%A7ade-design
114,Abstract,1,Sungkyunkwan University,A Biomimetic Approach for the Multi-Objective Optimization of Kinetic Facade Design,"Do-Jin Jang,Sung-Ah Kim",2018,https://waset.org/pdf/books/?id=71381&pageNumber=672
